Variable,Definition,Calculation ,,
General,"Inclusive Recovery Indicators: For each of the following indicators, we've included ""raw score,"" ""z-score,"" and ""rank"" for each year of 1980, 1990, 2000, and 2013  (based on 2011-2015 5-year estimates). Raw score refers to the absolute score of each city on that measure. Z-score refers to the relative score of each city on that measure in comparison to the full 274 city sample, with 0 as the mean, and 1 as the standard deviation. Rank refers to the relative rank, 1-274 with 1 being best and 274 being worst amongst the full city sample in that particular year. For our three indexes, only a z-score and rank are given (as the raw score is itself a z-score). ",,,
Employment Change,Percentage change in number of people in the labor force employed from 10 years prior (13 years for 2013),(# people employed in current decade- # people employed in previous decade)/# people employed in previous decade,,
Median Family Income,Median family income in the past 12 months,$ median family income,,
Unemployment Rate,Percentage of labor force not currently employed or actively seeking employment (excluding military),# unemployed/# in labor force,,
Vacancy Rate,Percentage of housing units that are for sale or rented/sold but unoccupied,# vacancies/# total housing units,,
Economic Health Index,Average of the z-scores of all 4 economic health indicators,(Employment Change + Median Family Income + Unemployment Rate + Vacancy Rate)/4,,
Income Segregation,Rank-order information theory index on a scale of 0 to 1,Computation of segregation between families above and below each income distribution bucket at the census tract level. These are then averaged (weighted by income comparative to the median income) to construct the city-level measure.,,
Percent 16-19-Year-Olds Not in School,Percentage of 16-19-year-olds who are not enrolled in school and are not high school graduates,# not enrolled or school and non-HS graduates aged 16-19/# total population aged 16-19,,
Rent Burden,Percentage of renters who pay 35% or more of their income in rent,# renters paying over 35% of their income on rent/total renters,,
Working Poor,Percentage of families that are below the poverty line with householder working full-time,# families below the poverty level with a householder or spouse that worked full-time year-round in the past 12 months/# families,,
Economic Inclusion Index,Average of the z-scores of all 4 economic inclusion indicators,(Income Segregation + Percent 16-19-Year-Olds Not in School + Rent Burden + Working Poor)/4,,
Racial Segregation,Person of color/white (non-Hispanic) dissimilarity index,(1/2) * ((# people of color in census tract /# people of color in city) Đ (# non-Hispanic white in census tract/ # non-Hispanic white in city)),,
Racial Education Gap,Percentage person of color population (over age 25) with a high school degree or more minus the percentage white population (over age 25) with high school degree or more,(# white HS graduates/# total HS graduates) - (# people of color HS graduates/# total HS graduates),,
Homeownership Gap,Percentage of white households that own a home minus the percentage of person of color households that own a home,(#non-Hispanic white in owner-occupied units/# non-Hispanic white in occupied units) - (# people of color in owner-occupied units/#people of color in occupied units),,
Poverty Gap,Poverty rate for person of color population minus the poverty rate for person of color population,(# people of color below the poverty line/# people of color) Đ (# white below the poverty line/# white),,
Percentage of color,Percentage of population made up by people of color,# people of color /# total population,,
Racial Inclusion Index,Average of the z-scores of all 5 racial  inclusion indicators,(Racial Segregation + Racial Education Gap + Homeownership Gap + Poverty Gap + Percentage of color)/5,,
Overall Inclusion Index,Average of the z-scores of all 9 economic inclusion and racial  inclusion indicators,(Income Segregation + Percent 16-19-Year-Olds Not in School + Rent Burden + Working Poor + Racial Segregation + Racial Education Gap + Homeownership Gap + Poverty Gap + Percentage of color)/9,,
Population,"Population for 1980, 1990, 2000, and 2013  (based on 2011-2015 5-year estimates) as stated",,,
Mean Indicator Score,"For each indicator across the three indices, the average raw score across our 274 city sample is listed for 1980, 1990, 2000, and 2013  (based on 2011-2015 5-year estimates)",,,
Year Consolidated (If Applicable),"For cities that underwent consolidation (i.e. city-county  merger), the year of consolidation is listed",,,
,,,,